Order ID,Order Date,Order Total,Order Status,Customer ID,Customer Name,Customer Email,Product 1 ID,Product 1 Label,Product 1 Unit Price,Product 1 Qty,Product 2 ID,Product 2 Label,Product 2 Unit Price,Product 2 Qty,Product 3 ID,Product 3 Label,Product 3 Unit Price,Product 3 Qty
ABC-123-5,1/14/2016,,Placed,93016,Jimmy John,jimmy@john.com,X-1445,Foo Shooter,10,4,YY-123,Bar Frame,35.73,6,ZO-778443,Baz Brake,17.99,5
ABC-74-6,1/3/2016,,Fulfilled,5500014,Brad Fordy,brad@fordy.com,YY-123,Bar Frame,35.73,3,,,,,,,,
ABC-1489-56,1/15/2016,,Placed,443,Susan Briarson,subee13@son.com,WRX-987,Qubix Rube,13.75,2,X-1445,Foo Shooter,10,3,,,,
ABC-55-6,12/29/2015,,Placed,93016,jimmy john,john.jimmy@me.com,X-1445,Foo Shooter,10,2,,,,,,,,
ABC-89909,11/30/2015,,Shipped,93016,Jimmy John,jimmy@john.com,X-1445,Foo Shooter,10,7,YY-123,Bar Frame,35.73,15,,,,
ABC-16,12/4/2015,,Shipped,443,Susan Briarson,susan.briarson@help.com,ZO-778443,Baz Brake,17.99,2,,,,,,,,
DEF-935-900,1/21/2016,,Returned,5500014,Brad Fordy,brad@fordy.com,WRX-987,Qubix Rube,13.75,9,,,,,,,,
ABC-7795-01,1/1/2016,,Placed,66009-BC,Frank Ginn,frankginn@frankginn.com,YY-123,Bar Frame,35.73,20,WRX-987,Qubix Rube,13.75,2,X-1445,Foo Shooter,10,4
ABC-49002,12/31/2015,,Fulfilled,123,michelle ratley,mratley@ratmail.com,ZO-778443,Baz Brake,17.99,1,X-1445,Foo Shooter,10,1,,,,
XYZ-7-01-987,1/3/2016,,Shipped,123,michelle ratley,mratley@ratmail.com,ZO-778443,Baz Brake,17.99,3,WRX-987,Qubix Rube,13.75,1,,,,
ABC-8399-099,1/15/2016,,Shipped,93016,J John,john.jimmy@me.com,X-1445,Foo Shooter,10,4,,,,,,,,
ABC-91-009001,1/21/2016,,Placed,93016,Jimmy John,john.jimmy@me.com,WRX-987,Qubix Rube,13.75,3,ZO-778443,Baz Brake,17.99,1,X-1445,Foo Shooter,10,10
F001-14-5123,1/7/2016,,Placed,443,Susan Briarson,subee13@son.com,WRX-988,Qubix Rube,13.75,5,YY-123,Bar Frame,35.73,2,X-1445,Foo Shooter,10,7
ABC-0775-9553-1,12/31/2015,,Fulfilled,93016,Jimmy john,jimmy@john.com,ZO-778443,Baz Brake,17.99,7,,,,,,,,
